ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-024,Swadesh 100,Body Parts & Substances,egg,Addu,Huvadhu,Bis,Bihe,2,0.5,50.0,Yes
SW100-024,Swadesh 100,Body Parts & Substances,egg,Addu,Sinhala,Bis,Bittaraya,7,0.7778,22.22,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Addu,Malayalam,Bis,Muṭṭa,5,1.0,0.0,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Addu,Arabic,Bis,Baid̈aha,6,0.75,25.0,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Huvadhu,Sinhala,Bihe,Bittaraya,7,0.7778,22.22,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Huvadhu,Malayalam,Bihe,Muṭṭa,5,1.0,0.0,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Huvadhu,Arabic,Bihe,Baid̈aha,5,0.625,37.5,No
SW100-025,Swadesh 100,Body Parts & Substances,eye,Male',Addu,Loa,Loa,0,0.0,100.0,Yes
SW100-025,Swadesh 100,Body Parts & Substances,eye,Male',Huvadhu,Loa,Lola,1,0.25,75.0,Yes
SW100-025,Swadesh 100,Body Parts & Substances,eye,Male',Sinhala,Loa,Sa,2,0.6667,33.33,No
SW100-025,Swadesh 100,Body Parts & Substances,eye,Male',Arabic,Loa,Äaina,5,0.8333,16.67,No
SW100-025,Swadesh 100,Body Parts & Substances,eye,Addu,Huvadhu,Loa,Lola,1,0.25,75.0,Yes
SW100-025,Swadesh 100,Body Parts & Substances,eye,Addu,Sinhala,Loa,Sa,2,0.6667,33.33,No
SW100-025,Swadesh 100,Body Parts & Substances,eye,Addu,Arabic,Loa,Äaina,5,0.8333,16.67,No
SW100-025,Swadesh 100,Body Parts & Substances,eye,Huvadhu,Sinhala,Lola,Sa,3,0.75,25.0,No
SW100-025,Swadesh 100,Body Parts & Substances,eye,Huvadhu,Arabic,Lola,Äaina,5,0.8333,16.67,No
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Male',Addu,Sarubee,Sarabi,3,0.4286,57.14,Yes
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Male',Sinhala,Sarubee,Meda,7,1.0,0.0,No
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Male',Malayalam,Sarubee,Kòl̤upp,7,1.0,0.0,No
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Male',Arabic,Sarubee,Duhna,6,0.8571,14.29,No
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Addu,Sinhala,Sarabi,Meda,5,0.8333,16.67,No
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Addu,Malayalam,Sarabi,Kòl̤upp,7,1.0,0.0,No
